State,Vehicles,Murder2002,RoundMurder2002,Robbery,FSSGun,PGun2,PBlack,GunMurder,Suicide,GDP,Murder,RoundMurder,PGun,NGun,Pi,Southernness,PUrban,YearAdmitted,TestScore,Pnonwhite,Latitude,Geography,Population,Unfair,ZSouthernness,ZPnonwhite,PercentMurderWithGuns,filter_$,ZPBlack,CultViolence,Poverty,Density,ViolentCrime
Wyoming,1140,4.6,5,17,74,22827,1.29,.9,19.7,54305,1.4,1,59.7,500500,2,0,65,1890,514,14,42,0,.6,0,-.804003020915575,-.950485666005197,.333333333333333,1,-.972137217744101,-1.77614023865968,16.7,94.65,448
Montana,1120,2.52,3,25,67,25745,.67,1.2,19.4,33204,2.1,2,57.7,878601,8,0,56,1889,529,12,38,0,1,0,-.804003020915575,-1.07462079780101,.333333333333333,1,-1.03682394769616,-1.84082696861174,15.2,57.05,483
North Dakota,1080,1.1,1,10,59,17829,1.08,.6,14.4,55250,1.3,1,50.7,597261,5,0,60,1889,532,11,48,0,.8,1,-.804003020915575,-1.13668836369892,.2,1,-.994047239179477,-1.79805026009505,11.1,360.2,723
Iowa,1050,1.91,2,40,55,10127,2.68,.7,10.6,42222,1.2,1,42.9,2705163,3,0,64,1846,522,11,42,.25,3.1,0,-.804003020915575,-1.13668836369892,.368421052631579,1,-.827113742528992,-1.63111676344457,11.3,54.81,295
Alabama,1030,9.29,9,125,78,16684,26.38,2.8,12.5,32615,4.2,4,51.7,4244406,3,4,59,1819,469,33,33,.5,4.9,0,2.02386967333921,.228798086055029,.491228070175439,1,1.64558867660632,3.66945834994553,20.7,10298,1414
Nebraska,1000,2.89,3,67,58,8081,4.5,1.8,10.2,44943,2.8,3,38.6,1621791,3,0,73,1867,517,18,47,0,1.8,0,-.804003020915575,-.702215402413571,.620689655172414,1,-.637226890089065,-1.44122991100464,9.5,23.97,302
Alaska,960,6.23,6,81,70,22273,4.27,2.7,22.1,61156,4.4,4,57.8,630685,1,0,66,1959,505,36,61,1,.7,1,-.804003020915575,.415000783748748,.482142857142857,1,-.661223580232572,-1.46522660114815,10,1.264,661
Delaware,950,4.71,5,145,48,5636,20.95,4.2,10.7,61183,5.3,5,25.5,797365,6,1,83,1787,497,35,39,1,.9,1,-.0970348473518794,.352933217850842,.724137931034483,1,1.07905812234874,.982023274996858,7.5,12.1,227
South Dakota,950,2.89,3,14,63,19062,1.14,1,12.5,43181,1.7,2,56.6,722992,1,0,57,1889,521,15,44,0,.8,0,-.804003020915575,-.88841810010729,.434782608695652,1,-.987787233055084,-1.79179025397066,15.9,56.43,529
Louisiana,610,13.5,14,176,76,13329,32.4,7.7,12.2,43145,9.6,10,44.1,4025634,8,4,73,1812,463,40,31,1.25,4.6,0,2.02386967333921,.663271047340375,.747572815533981,1,2.27367595775377,4.29754563109298,9.9,19.5,239
Ohio,910,4.81,5,151,60,8491,12.04,2.7,11,37690,4,4,32.4,10244416,9,1,78,1803,510,19,40,.5,11.5,0,-.0970348473518794,-.640147836515664,.675,1,.149447212876347,.0524123655244675,15.6,55.22,500
Vermont,910,1.3,1,17.5,67,9366,.87,.3,13.8,38198,1.1,1,42,555658,1,0,39,1791,525,6,44,0,.6,0,-.804003020915575,-1.44702619318845,.1875,1,-1.01595726061485,-1.81996028153043,12.6,43.04,118
Michigan,870,6.95,7,130,57,9030,14.24,4.2,11,35298,5.6,6,38.4,8776672,6,0,75,1837,499,24,43,.5,9.9,0,-.804003020915575,-.329810007026131,.777777777777778,1,.378980770770764,-.425022250144811,10.6,24.8,751
Minnesota,870,2.53,3,76,51,13285,4.57,1,10.8,47028,1.7,2,41.7,4709885,4,0,73,1858,535,17,46,.25,5.4,0,-.804003020915575,-.764282968311477,.625,1,-.629923549610606,-1.43392657052618,9.7,606.2,642
Utah,470,2.32,2,53,59,30315,1.27,.8,15.4,39158,1.9,2,43.9,2454330,3,0,91,1896,507,20,40,0,2.9,0,-.804003020915575,-.578080270617757,.347826086956522,1,-.974223886452232,-1.77822690736781,12.6,182.5,334
Washington,870,3.52,4,99,57,12508,3.74,1.4,13,47146,2.2,2,33.1,5971392,1,0,84,1889, ,27,47,1,7,0,-.804003020915575,-.143607309332411,.56,1,-.716520300998046,-1.52052332191362,12.3,282.5,343
Connecticut,860,2.83,3,122,44,13783,10.34,2.7,7.4,54925,3.7,4,16.7,3173798,2,0,88,1788,515,29,42,1,3.5,0,-.804003020915575,-.0194721775365979,1.125,1,-.0279196273147937,-.831922648230369,7.6,67.73,124
Oklahoma,860,5.62,6,80,69,15801,7.96,3,14.7,36252,5,5,42.9,3331200,2,2,66,1907,489,31,36,0,3.8,0,.609933326211816,.104662954259215,.666666666666667,1,-.276233203582391,.333700122629426,12.5,35.09,453
Wisconsin,860,3.51,4,82,54,8534,6.07,1.7,12.7,39308,2.7,3,44.4,5050044,9,0,70,1848,521,17,44,.5,5.8,0,-.804003020915575,-.764282968311477,.586206896551724,1,-.473423396500776,-1.27742641741635,8.6,216.8,273
California,540,7.13,7,187,53,5444,6.67,3.4,9.8,46029,4.9,5,21.3,33081513,5,0,95,1850,472,60,36,1,39,0,-.804003020915575,1.90462236529851,.772727272727273,1,-.410823335256844,-1.21482635617242,1.14,11.8,169
Kentucky,840,4.77,5,81,74,155,8.2,2.7,15.1,33519,4.5,5,47.7,3853358,3,3,58,1792,489,14,38,.25,4.4,0,1.31690149977551,-.950485666005197,.75,1,-.251193179084818,1.06570832069069,14.4,172.5,493
Tennessee,840,8.06,8,178,74,16684,16.78,3.5,13.3,37254,5.6,6,43.9,5635341,6,4,66,1796,476,24,38,.25,6.5,0,2.02386967333921,-.329810007026131,.614035087719298,1,.64398769670341,2.66785737004262,11.5,231.9,533
Virginia,840,5.45,5,95.4,68,10134,19.91,3.1,11.2,47127,4.6,5,35.1,7140909,4,3,76,1788,508,35,38,1,8.3,0,1.31690149977551,.352933217850842,.75609756097561,1,.970551349525922,2.28745284930143,14.46,6.8,329
Kansas,830,4.75,5,90,64,12516,6.15,2.2,13.7,41070,3.5,4,42.1,2533569,2,1,74,1861,520,22,39,0,2.9,0,-.0970348473518794,-.453945138821944,.709677419354839,1,-.465076721668252,-.562111569020131,18.3,105,730
Missouri,830,6.45,6,138,65,14712,11.49,5.4,13.5,36815,7,7,41.7,5318167,3,2,70,1821,502,19,33,.25,6,0,.609933326211816,-.640147836515664,.818181818181818,1,.0920638234027427,.701997149614559,10.1,852.1,432
New Hampshire,830,.71,1,35,57,14522,1.22,.4,11.1,42958,1,1,30,1169024,7,0,60,1788,514,8,43,.5,1.3,0,-.804003020915575,-1.32289106139264,.444444444444444,1,-.97944055822256,-1.78344357913813,11.2,285.3,417
Georgia,820,7.9,8,172,74,9200,31.4,3.8,10.7,37702,5.3,5,40.3,8602636,5,4,75,1788,482,44,33,.5,10,0,2.02386967333921,.911541310932001,2.11111111111111,1,2.16934252234722,4.19321219568643,20.1,63.5,291
Massachussetts,420,2.88,3,101,31,3796,8.1,1.8,7.6,53221,3.2,3,12.6,5814295,2,0,92,1788,531,24,42,1,6.7,0,-.804003020915575,-.329810007026131,.9,1,-.261626522625473,-1.06562954354105,10.2,102.6,333
Idaho,790,2.39,2,18,71,15764,.95,.8,15.1,31945,1.3,1,55.3,1392013,9,0,71,1890,512,16,44,0,1.6,0,-.804003020915575,-.826350534209384,.150943396226415,1,-1.00761058578233,-1.8116136066979,9.7,741.4,256
Maryland,790,9.93,10,252,56,4040,30.1,5.1,9,46720,7.3,7,21.3,5126914,6,1,87,1788,502,45,39,1,6,0,-.0970348473518794,.973608876829908,.836065573770492,1,2.0337090563187,1.93667420896682,15,156.6,753
Maine,780,.85,1,21,61,11528,1.03,.8,13.7,34597,1.8,2,40.5,1179585,4,0,39,1820,519,6,42,1,1.3,0,-.804003020915575,-1.44702619318845,.5,1,-.999263910949805,-1.80326693186538,8.1,67.14,289
New Mexico,770,8.68,9,147,63,13408,2.97,3.3,20.4,33900,5.7,6,34.8,1828551,5,1,77,1912,468,59,35,.25,2,0,-.0970348473518794,1.8425547994006,.6875,1,-.796857046261092,-.893891893612971,2.97,17.9,664
Oregon,770,3.02,3,80,61,12059,2.01,.9,15.2,48609,2,2,39.8,3401994,3,0,81,1859,511,21,45,1,3.9,0,-.804003020915575,-.516012704719851,.45,1,-.897017144251383,-1.70102016516696,11.6,87.26,505
South Carolina,770,7.94,8,131,72,11578,28.48,4.5,11.7,31881,6.1,6,42.3,4107323,8,3,66,1788,491,36,34,1,4.8,0,1.31690149977551,.415000783748748,.703125,1,1.86468889096008,3.18159039073559,14.8,110,295
Hawaii,360,3.07,3,93,29,2031,3.08,.5,9.7,44442,1.8,2,6.7,1207947,8,0,92,1959,471,77,21,1,1.4,1,-.804003020915575,2.95977098556292,.25,1,-.785380368366371,-1.58938338928195,10.2,105.2,291
Pennsylvania,760,5.19,5,142,55,12449,10.79,3.6,11.2,40063,5.1,5,34.7,11279713,0,1,79,1787,509,20,41,.5,12.7,0,-.0970348473518794,-.578080270617757,.75,1,.0190304186181553,-.0780044287337242,21.6,13.1,466
Illinois,750,8.11,8,199,47,13879,14.88,2.8,8.5,46151,3.5,4,20.2,11393601,7,1,89,1818,499,36,40,.5,12.9,0,-.0970348473518794,.415000783748748,.56,1,.445754169430959,.348719322079079,16.2,98.07,511
West Virginia,850,5.26,5,39,75,21455,3.58,1.5,15.9,30389,3,3,55.4,1645459,5,2,49,1863,475,7,38,0,1.9,0,.609933326211816,-1.38495862729054,.375,1,-.733213650663094,-.123280324451278,13.2,244.2,523
Rhode Island,730,4.03,4,93,36,3504,7.5,1.5,8.7,41678,2.8,3,12.8,934679,7,0,91,1790,489,24,42,1,1,0,-.804003020915575,-.329810007026131,.625,1,-.324226583869405,-1.12822960478498,9.2,207.3,270
Texas,720,6.55,7,166,68,9936,11.91,3.2,10.4,46498,5,5,35.9,22329258,4,3,85,1845,503,55,31,1,27,0,1.31690149977551,1.59428453580897,.727272727272727,1,.135883866273495,1.45278536604901,1.22,12,137
Florida,410,6.04,6,200,60,7510,15.91,3.9,13.3,34802,5,5,24.5,16695563,3,3,91,1845,484,42,28,1,19.8,0,1.31690149977551,.787406179136188,.684210526315789,1,.553217607899708,1.87011910767522,28.48,15,788
Arkansas,700,7.17,7,81,75,17843,15.76,3.2,14.3,31837,4.5,5,55.3,2589335,1,3,56,1836,475,25,35,.25,3,0,1.31690149977551,-.267742441128224,.571428571428572,1,.537567592588725,1.85446909236424,11.4,49.33,348
New Jersey,690,3.89,4,166,35,1536,14.46,2.8,8.7,49430,4.1,4,12.3,7807202,9,0,95,1787,519,41,40,1,9,0,-.804003020915575,.725338613238281,.717948717948718,1,.401934126560206,-.402068894355369,3.58,15.4,275
Mississippi,880,10.67,11,115,80,14165,37.3,4,13.8,28944,5.6,6,55.3,2634960,3,4,49,1817,451,42,33,.5,3,0,2.02386967333921,.787406179136188,.465116279069767,1,2.78490979124588,4.80877946458509,9.2,470.7,689
North Carolina,670,7.73,8,162,72,9411,21.6,3,11.7,40289,4.7,5,41.3,8467509,4,3,66,1789,497,35,36,1,10,0,1.31690149977551,.352933217850842,.588235294117647,1,1.146874855363,2.46377635513851,12,174.8,536
Arizona,460,9.34,9,167,67,7954,4.16,3.6,16.1,35195,5.5,6,31.1,5676111,4,1,90,1912,488,42,34,.25,6.7,0,-.0970348473518794,.787406179136188,.765957446808511,1,-.672700258127293,-.769735105479173,7.86,40.33,288
Indiana,610,6.25,6,117,63,11614,9.07,2.2,12.4,39065,3.1,3,39.1,5757616,9,1,72,1816,511,18,40,.5,6.5,0,-.0970348473518794,-.702215402413571,.415094339622642,1,-.160423090281116,-.257457937632996,13.8,6.858,288
New York,570,4.85,5,192,37,3047,15.18,2.7,7,53067,4.4,4,18,17207775,4,0,89,1788,498,42,42,1.25,19.7,0,-.804003020915575,.787406179136188,.870967741935484,1,.477054200052924,-.326948820862651,9.2,34.3,235
Nevada,500,8.05,8,234,67,10155,9,3.1,18.3,41029,5.9,6,33.8,2398089,2,0,94,1864,477,46,38,0,2.8,0,-.804003020915575,1.03567644272781,.516666666666667,1,-.167726430759575,-.97172945167515,1.08,11.2,142
DC,350,39.95,40,689, , ,49.5,16.5,5.8,145663,21.8,22,3.6, ,5,1,100,1790, ,65,39,.25,.7,1,-.0970348473518794,2.21496019478804,2.8448275862069,0, , ,10.6,5.85,239
Colorado,340,4.1,4,81,57,15806,4.28,1.3,16.4,46242,2.3,2,34.7,4465926,9,1,86,1876,514,30,39,.25,5.3,0,-.0970348473518794,.0425953883613087,.464285714285714,1,-.660180245878507,-.757215093230386,15.18,14.5,414
